Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Compra de un grupo de productos con descuentos con cliente registrado,Chrome 114.0.0.0,,,2023-07-05 20:04:39,2023-07-05 20:08:37,"3m - 58,546s",FAILED
,,,,,,,
Test Cases/ScriptsComunes/AccesoATienda,Chrome 114.0.0.0,,,2023-07-05 20:04:39,2023-07-05 20:04:50,"10,588s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-05 20:04:40,2023-07-05 20:04:43,"3,208s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Chrome 114.0.0.0,,,2023-07-05 20:04:43,2023-07-05 20:04:45,"2,119s",PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-05 20:04:45,2023-07-05 20:04:45,"0,231s",PASSED
waitForPageLoad(30),Chrome 114.0.0.0,,,2023-07-05 20:04:45,2023-07-05 20:04:45,"0,254s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/AceptarCookies""))",Chrome 114.0.0.0,,,2023-07-05 20:04:45,2023-07-05 20:04:48,"2,190s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-05 20:04:50,2023-07-05 20:04:50,"0,001s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/BusquedaDeProductosEnDescuento,Chrome 114.0.0.0,,,2023-07-05 20:04:50,2023-07-05 20:04:56,"6,446s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/DesplegableCategorias""), ""descuento-50"", true)",Chrome 114.0.0.0,,,2023-07-05 20:04:51,2023-07-05 20:04:52,"1,459s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/BotonBuscar""))",Chrome 114.0.0.0,,,2023-07-05 20:04:52,2023-07-05 20:04:54,"2,147s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-05 20:04:56,2023-07-05 20:04:56,"0,001s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/ComprobacionPaginaDeProductosConDescuento,Chrome 114.0.0.0,,,2023-07-05 20:04:56,2023-07-05 20:05:10,"13,625s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/span_Oferta""))",Chrome 114.0.0.0,,,2023-07-05 20:04:57,2023-07-05 20:04:57,"0,416s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/h2_Pantaln y camisa de hombre""))",Chrome 114.0.0.0,,,2023-07-05 20:04:57,2023-07-05 20:04:57,"0,398s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Has buscado -/h2_Vestido de noche""))",Chrome 114.0.0.0,,,2023-07-05 20:04:57,2023-07-05 20:04:58,"0,420s",PASSED
