Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Comprobación de calculo correcto del coste de envío de producto,Chrome 114.0.0.0,,,2023-07-06 00:41:12,2023-07-06 00:42:25,"1m - 13,131s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/AccesoATienda,Chrome 114.0.0.0,,,2023-07-06 00:41:12,2023-07-06 00:41:25,"12,505s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-06 00:41:13,2023-07-06 00:41:16,"3,574s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Chrome 114.0.0.0,,,2023-07-06 00:41:16,2023-07-06 00:41:18,"1,837s",PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-06 00:41:18,2023-07-06 00:41:18,"0,182s",PASSED
waitForPageLoad(30),Chrome 114.0.0.0,,,2023-07-06 00:41:18,2023-07-06 00:41:19,"0,297s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/AceptarCookies""))",Chrome 114.0.0.0,,,2023-07-06 00:41:19,2023-07-06 00:41:23,"4,097s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:41:25,2023-07-06 00:41:25,"0,002s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/SeleccionaProducto2,Chrome 114.0.0.0,,,2023-07-06 00:41:25,2023-07-06 00:41:59,"34,729s",PASSED
"click(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Inicio -/a_TiendaNEW""))",Chrome 114.0.0.0,,,2023-07-06 00:41:25,2023-07-06 00:41:49,"23,674s",PASSED
"click(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Tienda -/h2_Camiseta para mujer""))",Chrome 114.0.0.0,,,2023-07-06 00:41:49,2023-07-06 00:41:51,"2,131s",PASSED
"click(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Camiseta para mujer -/button_Aadir al carrito""))",Chrome 114.0.0.0,,,2023-07-06 00:41:51,2023-07-06 00:41:55,"3,816s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Camiseta para mujer -/div_Ver carrito Camiseta para mujer se ha a_30c79a""))",Chrome 114.0.0.0,,,2023-07-06 00:41:55,2023-07-06 00:41:56,"0,891s",PASSED
"click(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Camiseta para mujer -/a_Ver carrito""))",Chrome 114.0.0.0,,,2023-07-06 00:41:56,2023-07-06 00:41:57,"1,759s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:41:59,2023-07-06 00:41:59,"0,000s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/ComprobarCarritoProducto,Chrome 114.0.0.0,,,2023-07-06 00:41:59,2023-07-06 00:42:07,"7,453s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Producto""))",Chrome 114.0.0.0,,,2023-07-06 00:42:00,2023-07-06 00:42:00,"0,402s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Producto""), ""Producto"")",Chrome 114.0.0.0,,,2023-07-06 00:42:00,2023-07-06 00:42:00,"0,333s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Precio""), ""Precio"")",Chrome 114.0.0.0,,,2023-07-06 00:42:00,2023-07-06 00:42:01,"0,343s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Cantidad""), ""Cantidad"")",Chrome 114.0.0.0,,,2023-07-06 00:42:01,2023-07-06 00:42:01,"0,364s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/th_Subtotal""), ""Subtotal"")",Chrome 114.0.0.0,,,2023-07-06 00:42:01,2023-07-06 00:42:02,"0,388s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/td_""))",Chrome 114.0.0.0,,,2023-07-06 00:42:02,2023-07-06 00:42:02,"0,446s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/td_Camiseta para mujer""), ""Camiseta para mujer"")",Chrome 114.0.0.0,,,2023-07-06 00:42:02,2023-07-06 00:42:02,"0,433s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/PrecioProducto""), ""18,90 €"")",Chrome 114.0.0.0,,,2023-07-06 00:42:02,2023-07-06 00:42:03,"0,393s",PASSED
"verifyElementText(findTestObject(""Object Repository/Comprobación de calculo correcto del coste de envío de producto/Page_Carrito -/input_Camiseta para mujer cantidad_cartf0e5_48d88e""), ""Camiseta para mujer"")",Chrome 114.0.0.0,,,2023-07-06 00:42:03,2023-07-06 00:42:03,"0,394s",PASSED
