Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Compra de un producto con cupon descuento,Chrome 114.0.0.0,,,2023-07-05 20:50:24,2023-07-05 20:51:41,"1m - 16,938s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/AccesoATienda,Chrome 114.0.0.0,,,2023-07-05 20:50:24,2023-07-05 20:50:33,"9,346s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-05 20:50:24,2023-07-05 20:50:28,"3,210s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Chrome 114.0.0.0,,,2023-07-05 20:50:28,2023-07-05 20:50:30,"2,203s",PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-05 20:50:30,2023-07-05 20:50:30,"0,259s",PASSED
waitForPageLoad(30),Chrome 114.0.0.0,,,2023-07-05 20:50:30,2023-07-05 20:50:30,"0,401s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/AceptarCookies""))",Chrome 114.0.0.0,,,2023-07-05 20:50:30,2023-07-05 20:50:31,"0,709s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-05 20:50:33,2023-07-05 20:50:33,"0,002s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/SeleccionarProducto,Chrome 114.0.0.0,,,2023-07-05 20:50:33,2023-07-05 20:50:47,"13,230s",PASSED
"click(findTestObject(""Compra de un producto con cupon descuento/Page_Inicio -/a_Tienda""))",Chrome 114.0.0.0,,,2023-07-05 20:50:34,2023-07-05 20:50:35,"1,173s",PASSED
"click(findTestObject(""Compra de un producto con cupon descuento/Page_Tienda -/h2_Gafas de hombre""))",Chrome 114.0.0.0,,,2023-07-05 20:50:35,2023-07-05 20:50:37,"1,624s",PASSED
"click(findTestObject(""Object Repository/Compra de un producto con cupon descuento/Page_Gafas de hombre -/BotonAñadirACarrito""))",Chrome 114.0.0.0,,,2023-07-05 20:50:37,2023-07-05 20:50:41,"4,088s",PASSED
"mouseOver(findTestObject(""Object Repository/Compra de un producto con cupon descuento/Page_Gafas de hombre -/IconoCarrito""))",Chrome 114.0.0.0,,,2023-07-05 20:50:41,2023-07-05 20:50:42,"1,151s",PASSED
"verifyElementText(findTestObject(""Object Repository/Compra de un producto con cupon descuento/Page_Gafas de hombre -/a_Gafas de hombre""), NombreProducto)",Chrome 114.0.0.0,,,2023-07-05 20:50:42,2023-07-05 20:50:43,"0,457s",PASSED
"verifyElementText(findTestObject(""Object Repository/Compra de un producto con cupon descuento/Page_Gafas de hombre -/strong_Subtotal""), ""Subtotal:"")",Chrome 114.0.0.0,,,2023-07-05 20:50:43,2023-07-05 20:50:43,"0,415s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un producto con cupon descuento/Page_Gafas de hombre -/a_Ver carrito""))",Chrome 114.0.0.0,,,2023-07-05 20:50:43,2023-07-05 20:50:44,"0,451s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Compra de un producto con cupon descuento/Page_Gafas de hombre -/a_Finalizar compra""))",Chrome 114.0.0.0,,,2023-07-05 20:50:44,2023-07-05 20:50:44,"0,459s",PASSED
