Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Modificación de datos de la cuenta con cliente registrado,Chrome 114.0.0.0,,,2023-07-06 00:44:30,2023-07-06 00:45:56,"1m - 25,855s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/AccesoATienda,Chrome 114.0.0.0,,,2023-07-06 00:44:30,2023-07-06 00:44:40,"9,126s",PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-06 00:44:31,2023-07-06 00:44:34,"3,475s",PASSED
"navigateToUrl(""https://pruebasqafenix.com/"")",Chrome 114.0.0.0,,,2023-07-06 00:44:34,2023-07-06 00:44:36,"1,844s",PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-06 00:44:36,2023-07-06 00:44:37,"0,283s",PASSED
waitForPageLoad(30),Chrome 114.0.0.0,,,2023-07-06 00:44:37,2023-07-06 00:44:37,"0,318s",PASSED
"click(findTestObject(""Object Repository/Compra de un grupo de productos con descuentos con cliente registrado/Page_Inicio -/AceptarCookies""))",Chrome 114.0.0.0,,,2023-07-06 00:44:37,2023-07-06 00:44:38,"0,684s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:44:40,2023-07-06 00:44:40,"0,002s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/Loguearse,Chrome 114.0.0.0,,,2023-07-06 00:44:40,2023-07-06 00:45:00,"20,075s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Inicio -/a_Mi Cuenta""))",Chrome 114.0.0.0,,,2023-07-06 00:44:40,2023-07-06 00:44:43,"2,184s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/h1_Mi Cuenta""), ""Mi Cuenta"")",Chrome 114.0.0.0,,,2023-07-06 00:44:43,2023-07-06 00:44:43,"0,840s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/h2_Acceder""), ""Acceder"")",Chrome 114.0.0.0,,,2023-07-06 00:44:43,2023-07-06 00:44:44,"0,392s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Nombre de usuario o correo electrnico""), ""Nombre de usuario o correo electrónico *"")",Chrome 114.0.0.0,,,2023-07-06 00:44:44,2023-07-06 00:44:44,"0,422s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__username""))",Chrome 114.0.0.0,,,2023-07-06 00:44:44,2023-07-06 00:44:45,"0,440s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Contraseña""), ""Contraseña *"")",Chrome 114.0.0.0,,,2023-07-06 00:44:45,2023-07-06 00:44:45,"0,399s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__password""))",Chrome 114.0.0.0,,,2023-07-06 00:44:45,2023-07-06 00:44:45,"0,398s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/BotonAcceder""), ""Acceder"")",Chrome 114.0.0.0,,,2023-07-06 00:44:45,2023-07-06 00:44:46,"0,398s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Recurdame""), ""Recuérdame"")",Chrome 114.0.0.0,,,2023-07-06 00:44:46,2023-07-06 00:44:46,"0,391s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__rememberme""))",Chrome 114.0.0.0,,,2023-07-06 00:44:46,2023-07-06 00:44:47,"0,417s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/a_Olvidaste la contrasea""), ""¿Olvidaste la contraseña?"")",Chrome 114.0.0.0,,,2023-07-06 00:44:47,2023-07-06 00:44:47,"0,443s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/h2_Registrarse""), ""Registrarse"")",Chrome 114.0.0.0,,,2023-07-06 00:44:47,2023-07-06 00:44:48,"0,437s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/label_Direccin de correo electrnico""), ""Dirección de correo electrónico *"")",Chrome 114.0.0.0,,,2023-07-06 00:44:48,2023-07-06 00:44:48,"0,442s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__email""))",Chrome 114.0.0.0,,,2023-07-06 00:44:48,2023-07-06 00:44:48,"0,402s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/span_Suscrbete a nuestro boletn""), ""Suscríbete a nuestro boletín"")",Chrome 114.0.0.0,,,2023-07-06 00:44:48,2023-07-06 00:44:49,"0,425s",PASSED
"verifyElementClickable(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__mailchimp_woocommerce_newsletter""))",Chrome 114.0.0.0,,,2023-07-06 00:44:49,2023-07-06 00:44:49,"0,422s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/p_Sus datos personales se utilizarn para re_ffe051""), ""Sus datos personales se utilizarán para respaldar su experiencia en este sitio web, para administrar el acceso a su cuenta y para otros fines descritos en nuestro política de privacidad."")",Chrome 114.0.0.0,,,2023-07-06 00:44:49,2023-07-06 00:44:50,"0,424s",PASSED
"scrollToElement(findTestObject(""Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/BotonAcceder""), 2)",Chrome 114.0.0.0,,,2023-07-06 00:44:50,2023-07-06 00:44:50,"0,412s",PASSED
"verifyElementText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/BotonRegistrarse""), ""Registrarse"")",Chrome 114.0.0.0,,,2023-07-06 00:44:50,2023-07-06 00:44:50,"0,384s",PASSED
"setText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__username""), Usuario)",Chrome 114.0.0.0,,,2023-07-06 00:44:50,2023-07-06 00:44:51,"0,891s",PASSED
"setText(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/input__password""), Password)",Chrome 114.0.0.0,,,2023-07-06 00:44:51,2023-07-06 00:44:52,"0,731s",PASSED
"click(findTestObject(""Object Repository/Modificación de datos de la cuenta con cliente registrado/Page_Mi Cuenta -/BotonAcceder""))",Chrome 114.0.0.0,,,2023-07-06 00:44:52,2023-07-06 00:44:58,"5,668s",PASSED
Video,Chrome 114.0.0.0,,,2023-07-06 00:45:00,2023-07-06 00:45:00,"0,000s",PASSED
,,,,,,,
Test Cases/ScriptsComunes/ComprobarComponentesDeMiCuenta,Chrome 114.0.0.0,,,2023-07-06 00:45:00,2023-07-06 00:45:28,"28,313s",PASSED
